time,x_1,y_1,psi_1,phi_1,v_1,x_2,y_2,psi_2,phi_2,v_2
0.0,-9.577927970499999e-34,-4.316467805518899e-29,-1.1046070987490572e-28,0.0,11.999999999998984,50.0,1.4447972854092316e-31,3.14159265358979,0.0,11.999999999998984
0.02,0.24205632971125587,0.0032925254939533744,0.013601472253306391,0.6981317102142856,12.10393608267704,49.757944023527465,-0.003292525493656106,3.1551941456884025,0.69813171021425,12.103918422374491
0.04,0.48405665753178495,0.00987711931763532,0.027202316945274255,0.6981317101219213,12.104494572375396,49.5159439732748,-0.009877120345881457,3.1687950059670915,0.698131710121877,12.104480700515257
0.06,0.7259554757326768,0.019752695228090995,0.04080257573798564,0.698131710005056,12.105016031231724,49.2740453807783,-0.019752698695417587,3.1823952774229007,0.6981317100049991,12.10500476037986
0.08,0.9677072794481422,0.03291753743890485,0.05440229131231438,0.6981317098539139,12.105499542575233,49.03229377071122,-0.03291754465322417,3.195995003847289,0.6981317098538381,12.105489884667698
0.1,1.2092665781743388,0.049369300427325485,0.0680015072039279,0.6981317096531333,12.105944335998524,48.790734645539075,-0.049369312481945676,3.2095942294460507,0.6981317096530285,12.105935694796626
0.12,1.4505879060088793,0.06910500892731591,0.08160026771023375,0.6981317093772954,12.106349724196457,48.549413474510644,-0.06910502696176204,3.223192998702544,0.6981317093771431,12.106341934350313
0.14,1.6916258406206726,0.09212105883960231,0.0951986173052363,0.6981317089814523,12.106715540917953,48.308375683079674,-0.09212108396688223,3.2367913562643977,0.698131708981217,12.106708448003081
0.16,1.9323350201951577,0.11841321863015694,0.10879660016570213,0.6981317083787466,12.107042041501217,48.067666631783155,-0.11841325227184175,3.2503893462341202,0.6981317083783514,12.107035711751388
0.18,2.1726701690713752,0.14797663225183502,0.12239425920181478,0.6981317073788607,12.10733034263919,47.82733164700701,-0.14797667049344196,3.26398701438477,0.6981317073781058,12.107322227096292
0.2,2.4125859737225257,0.18080580471204383,0.13599164354160412,0.6981317054754484,12.107574889901295,47.58741593854691,-0.1808058559051662,3.2775844039774116,0.6981317054737095,12.107570212547419
0.22,2.652037296332079,0.21689462661584644,0.14958879690174443,0.6981317007576094,12.107780449556468,47.34796468842442,-0.21689469400201755,3.2911815612266095,0.6981317007516719,12.1077769863426
0.24,2.8909790899922276,0.25623636509058473,0.16318576239815114,0.6981316746218971,12.107947095166454,47.10902296691933,-0.2562364487171701,3.3047785305704136,0.6981316745473978,12.107943667266865
0.26,3.1295895736924186,0.2975691120839986,0.1715206386893895,0.4750811208467433,12.108195458539605,46.8704125050699,-0.29756892429578946,3.3131122033331812,0.4750222639243197,12.108192065823012
0.28,3.3679414773437424,0.34037990472787916,0.17771680713567456,0.36523450716280276,12.108302310759761,46.63206046877082,-0.34037858673605503,3.319304770330301,0.36504048881696016,12.108298848922917
0.3,3.606079842808632,0.384369782925499,0.18266491409240077,0.2963755565028533,12.108363895341075,46.3939220450725,-0.38436776853779764,3.3242546961535466,0.29647815050300474,12.108360433711734
0.32,3.8440382327209206,0.42932737245226443,0.18672947543234591,0.24577170109225085,12.108404125324912,46.155963757578974,-0.4293255572596364,3.3283230157787873,0.24598983827250553,12.108400942485726
0.34,4.081843464967625,0.4750911031612657,0.19011786824013432,0.2061432526203719,12.108431724621623,45.918158798029545,-0.47509041216502856,3.331715293182741,0.20637288804701504,12.108428957826058
0.36,4.31951770480659,0.5215323713538421,0.19296746791045447,0.1740824941859175,12.108451147261968,45.68048497676714,-0.521533582455861,3.3345681616064495,0.17427813302445977,12.10844884572807
0.38,4.55707960626346,0.5685463384316555,0.19537740686271504,0.1476468436160213,12.10846502701638,45.44292360293755,-0.5685500263123062,3.3369805163110313,0.14779267915105726,12.108463189880778
0.4,4.794545029694706,0.6160462317571895,0.19742312905105933,0.12558721025224923,12.108475047595388,45.20545877737387,-0.6160527657106974,3.339027790991083,0.12568150298674174,12.108473647595906
0.42,5.031927540270986,0.6639595020186322,0.19916409951604513,0.10703337513050108,12.10848233621067,44.96807689891818,-0.6639690664634684,3.3407695360902334,0.10708062669691713,12.108481335039754
