time,x_1,y_1,psi_1,phi_1,v_1,x_2,y_2,psi_2,phi_2,v_2,x_3,y_3,psi_3,phi_3,v_3,x_4,y_4,psi_4,phi_4,v_4
0.0,-2.788312566958394e-32,40.0,-1.4026143120123613e-33,0.0,11.999999999996785,25.0,20.0,6.337170860519571e-34,0.0,11.999999999996785,25.0,-20.0,1.8935942988480225e-33,0.0,11.999999999996785,-4.48911888624225e-33,-40.0,3.065267969769191e-31,0.0,11.999999999996785
0.1,1.1970359219575755,39.91774888229693,-0.06860448823276112,-0.6981316979085008,11.998584269905448,26.197036153426858,19.917748882257644,-0.0686044750410819,-0.6981316979950597,11.9985865791802,26.19703618560484,-20.082251117738572,-0.06860447319953604,-0.6981316979516815,11.9985869002005,1.1970370320979984,-40.082251117854405,-0.06860442493349987,-0.69813169810144,11.998595345298776
0.2,2.385618490710836,39.75363355564223,-0.13720892583005376,-0.698131696747423,11.998593097472,27.385618954606457,19.75363355542283,-0.13720889948333656,-0.6981316968251674,11.99859540013756,27.38561913990056,-20.246366452896076,-0.13720888890012417,-0.69813169679451,11.998596928292047,2.385620645005624,-40.2463664404439,-0.13720880344519168,-0.6981316969116493,11.998603435321842
0.30000000000000004,3.56015702272902,39.50842590121927,-0.20581323929240808,-0.6981316939848011,11.99861474080609,28.560157709468335,19.508425902030904,-0.20581320049619845,-0.6981316940636821,11.99861692010532,28.560157989692573,-20.491574106613257,-0.20581318459319325,-0.698131694042789,11.99861785003682,3.5601601398215807,-40.49157408004387,-0.20581306321402648,-0.6981316941350131,11.998624135294426
0.4,4.715127055657744,39.1832791066615,-0.27441734553512365,-0.6981316872976472,11.99865081988128,29.71512801369026,19.18327909823176,-0.27441729167827356,-0.6981316873962549,11.99865345634746,29.715128252896424,-20.816720882395163,-0.2744172784655917,-0.6981316873869594,11.99865298559191,4.715131103806795,-40.81672085378285,-0.27441711855733325,-0.698131687446019,11.998659725660174
0.5,5.845095182954432,38.779722529846595,-0.3430212179809904,-0.6981316619517373,11.99869109276828,30.845096455707726,18.77972249971932,-0.3430211467918038,-0.6981316621751132,11.99869412960516,30.845096430720464,-21.220277390076966,-0.3430211495570974,-0.6981316622164065,11.998691336088761,5.845100313377237,-41.2202774531521,-0.34302093231253944,-0.6981316620830953,11.998701360862778
0.6000000000000001,6.952377946457429,38.31750743785981,-0.39544293271399,-0.5701508559512225,11.998824565727272,31.952379088553837,18.31750644123171,-0.3954437179933596,-0.570158374924584,11.99882708312529,31.952381849462235,-21.68248658821319,-0.39543754732193354,-0.5701048364065764,11.998826365039008,6.952493161655797,-41.68223104660446,-0.3952064729059529,-0.5681013997485267,11.99883345539414
0.7000000000000001,8.038766494562518,37.80809664832198,-0.4384619452842012,-0.48437068251427856,11.998914242324098,33.038774073958116,17.808108803374793,-0.4384497437282308,-0.48424635516387765,11.998916691773747,33.03878996759963,-22.19185565451458,-0.43842353775617593,-0.48405430674457184,11.998914304453196,8.039033070256439,-42.19132082286192,-0.43816616291631477,-0.48380252911531246,11.998922340220318
0.8,9.105784977818274,37.2592556286153,-0.4750764631041762,-0.42106112630455955,11.99897874185389,34.10580504451026,17.259291512005632,-0.4750541175597745,-0.42095785253020807,11.998981254170399,34.10583605859739,-22.74064301342351,-0.4750261702900447,-0.4209400345023854,11.998978813101019,9.1062310771442,-42.739814526645425,-0.4747506283990153,-0.4207551724519572,11.998987161204496
0.9,10.155041763634761,36.677165811979364,-0.5064933786399799,-0.36687629108213726,11.999034782646639,35.15507958036025,16.677233258351855,-0.5064632003290516,-0.3667928681893378,11.999036887076748,35.15512711782816,-23.322670989125317,-0.5064344544199949,-0.3667842896366366,11.999034508795079,10.15569108497036,-43.32153955251399,-0.5061453696618136,-0.36664017124512216,11.999042935567898
1.0,11.188244145632977,36.067024259166715,-0.5334304301546278,-0.31827858331264275,11.999082784069088,36.18830288259816,16.067126885757574,-0.5333963189788911,-0.31823521978642505,11.999084040572841,36.18836680215708,-23.93274912588644,-0.5333691143069939,-0.31825216380469934,11.99908154065194,11.189108572470492,-43.93131805901395,-0.5330787480381729,-0.31823822521699413,11.999089675591993
1.1,12.20720269411074,35.43337376766859,-0.5563388077662152,-0.27319815630985683,11.999122754887663,37.2072837774552,15.433512222742147,-0.5563036168383189,-0.27318592301890954,11.999123323194947,37.20736271855068,-24.566339174493255,-0.5562795859077708,-0.2732218644216769,11.999120914905946,12.208282566120088,-44.564623065186744,-0.5559994859806081,-0.27333845597452766,11.999128552375915
1.2000000000000002,13.213823868715997,34.780295447198405,-0.5755189395366447,-0.23043556211771213,11.9991561445993,38.21392739616203,14.780468491921125,-0.5754845760737314,-0.23044515587699946,11.99915617634142,38.21401896822799,-25.219363057344616,-0.5754649702525398,-0.23049641932858353,11.99915412262543,13.215109403943893,-45.2173852362097,-0.575204619827699,-0.23072549997139213,11.99916135936135
1.3,14.210108466788972,34.111549484943396,-0.5911620008835055,-0.18905438020257082,11.999183982211514,39.210233643239064,14.111754894004061,-0.5911295507915574,-0.1890769475943069,11.99918336389552,39.21033478053062,-25.888062127289306,-0.5911150552710421,-0.18913722210997008,11.99918182206236,14.211580724550704,-45.885853835723935,-0.5908833504844553,-0.18947530661180978,11.99918897812241
